"k0","year","","","hh","mm","fecha","variables","files"
"4","2010","1","31","18","0","2010-01-31 18:00:00","PS","MERRA2.2010031.180.resampled.PS.tif"
"4","2010","1","31","18","0","2010-01-31 18:00:00","RH","MERRA2.2010031.180.resampled.RH.tif"
"4","2010","1","31","18","0","2010-01-31 18:00:00","T","MERRA2.2010031.180.resampled.T.tif"
"4","2010","1","31","18","0","2010-01-31 18:00:00","U","MERRA2.2010031.180.resampled.U.tif"
"4","2010","1","31","18","0","2010-01-31 18:00:00","V","MERRA2.2010031.180.resampled.V.tif"
"4","2010","2","1","15","0","2010-02-01 15:00:00","PS","MERRA2.2010032.150.resampled.PS.tif"
"4","2010","2","1","15","0","2010-02-01 15:00:00","RH","MERRA2.2010032.150.resampled.RH.tif"
"4","2010","2","1","15","0","2010-02-01 15:00:00","T","MERRA2.2010032.150.resampled.T.tif"
"4","2010","2","1","15","0","2010-02-01 15:00:00","U","MERRA2.2010032.150.resampled.U.tif"
"4","2010","2","1","15","0","2010-02-01 15:00:00","V","MERRA2.2010032.150.resampled.V.tif"
"4","2010","2","1","18","0","2010-02-01 18:00:00","PS","MERRA2.2010032.180.resampled.PS.tif"
"4","2010","2","1","18","0","2010-02-01 18:00:00","RH","MERRA2.2010032.180.resampled.RH.tif"
"4","2010","2","1","18","0","2010-02-01 18:00:00","T","MERRA2.2010032.180.resampled.T.tif"
"4","2010","2","1","18","0","2010-02-01 18:00:00","U","MERRA2.2010032.180.resampled.U.tif"
"4","2010","2","1","18","0","2010-02-01 18:00:00","V","MERRA2.2010032.180.resampled.V.tif"
"4","2010","2","2","18","0","2010-02-02 18:00:00","PS","MERRA2.2010033.180.resampled.PS.tif"
"4","2010","2","2","18","0","2010-02-02 18:00:00","RH","MERRA2.2010033.180.resampled.RH.tif"
"4","2010","2","2","18","0","2010-02-02 18:00:00","T","MERRA2.2010033.180.resampled.T.tif"
"4","2010","2","2","18","0","2010-02-02 18:00:00","U","MERRA2.2010033.180.resampled.U.tif"
"4","2010","2","2","18","0","2010-02-02 18:00:00","V","MERRA2.2010033.180.resampled.V.tif"
"4","2010","2","3","15","0","2010-02-03 15:00:00","PS","MERRA2.2010034.150.resampled.PS.tif"
"4","2010","2","3","15","0","2010-02-03 15:00:00","RH","MERRA2.2010034.150.resampled.RH.tif"
"4","2010","2","3","15","0","2010-02-03 15:00:00","T","MERRA2.2010034.150.resampled.T.tif"
"4","2010","2","3","15","0","2010-02-03 15:00:00","U","MERRA2.2010034.150.resampled.U.tif"
"4","2010","2","3","15","0","2010-02-03 15:00:00","V","MERRA2.2010034.150.resampled.V.tif"
"4","2010","2","3","18","0","2010-02-03 18:00:00","PS","MERRA2.2010034.180.resampled.PS.tif"
"4","2010","2","3","18","0","2010-02-03 18:00:00","RH","MERRA2.2010034.180.resampled.RH.tif"
"4","2010","2","3","18","0","2010-02-03 18:00:00","T","MERRA2.2010034.180.resampled.T.tif"
"4","2010","2","3","18","0","2010-02-03 18:00:00","U","MERRA2.2010034.180.resampled.U.tif"
"4","2010","2","3","18","0","2010-02-03 18:00:00","V","MERRA2.2010034.180.resampled.V.tif"
"4","2010","2","4","18","0","2010-02-04 18:00:00","PS","MERRA2.2010035.180.resampled.PS.tif"
"4","2010","2","4","18","0","2010-02-04 18:00:00","RH","MERRA2.2010035.180.resampled.RH.tif"
"4","2010","2","4","18","0","2010-02-04 18:00:00","T","MERRA2.2010035.180.resampled.T.tif"
"4","2010","2","4","18","0","2010-02-04 18:00:00","U","MERRA2.2010035.180.resampled.U.tif"
"4","2010","2","4","18","0","2010-02-04 18:00:00","V","MERRA2.2010035.180.resampled.V.tif"
"4","2010","2","5","18","0","2010-02-05 18:00:00","PS","MERRA2.2010036.180.resampled.PS.tif"
"4","2010","2","5","18","0","2010-02-05 18:00:00","RH","MERRA2.2010036.180.resampled.RH.tif"
"4","2010","2","5","18","0","2010-02-05 18:00:00","T","MERRA2.2010036.180.resampled.T.tif"
"4","2010","2","5","18","0","2010-02-05 18:00:00","U","MERRA2.2010036.180.resampled.U.tif"
"4","2010","2","5","18","0","2010-02-05 18:00:00","V","MERRA2.2010036.180.resampled.V.tif"
"4","2010","2","6","18","0","2010-02-06 18:00:00","PS","MERRA2.2010037.180.resampled.PS.tif"
"4","2010","2","6","18","0","2010-02-06 18:00:00","RH","MERRA2.2010037.180.resampled.RH.tif"
"4","2010","2","6","18","0","2010-02-06 18:00:00","T","MERRA2.2010037.180.resampled.T.tif"
"4","2010","2","6","18","0","2010-02-06 18:00:00","U","MERRA2.2010037.180.resampled.U.tif"
"4","2010","2","6","18","0","2010-02-06 18:00:00","V","MERRA2.2010037.180.resampled.V.tif"
"4","2010","2","7","18","0","2010-02-07 18:00:00","PS","MERRA2.2010038.180.resampled.PS.tif"
"4","2010","2","7","18","0","2010-02-07 18:00:00","RH","MERRA2.2010038.180.resampled.RH.tif"
"4","2010","2","7","18","0","2010-02-07 18:00:00","T","MERRA2.2010038.180.resampled.T.tif"
"4","2010","2","7","18","0","2010-02-07 18:00:00","U","MERRA2.2010038.180.resampled.U.tif"
"4","2010","2","7","18","0","2010-02-07 18:00:00","V","MERRA2.2010038.180.resampled.V.tif"
"4","2010","2","8","18","0","2010-02-08 18:00:00","PS","MERRA2.2010039.180.resampled.PS.tif"
"4","2010","2","8","18","0","2010-02-08 18:00:00","RH","MERRA2.2010039.180.resampled.RH.tif"
"4","2010","2","8","18","0","2010-02-08 18:00:00","T","MERRA2.2010039.180.resampled.T.tif"
"4","2010","2","8","18","0","2010-02-08 18:00:00","U","MERRA2.2010039.180.resampled.U.tif"
"4","2010","2","8","18","0","2010-02-08 18:00:00","V","MERRA2.2010039.180.resampled.V.tif"
"4","2010","2","9","18","0","2010-02-09 18:00:00","PS","MERRA2.2010040.180.resampled.PS.tif"
"4","2010","2","9","18","0","2010-02-09 18:00:00","RH","MERRA2.2010040.180.resampled.RH.tif"
"4","2010","2","9","18","0","2010-02-09 18:00:00","T","MERRA2.2010040.180.resampled.T.tif"
"4","2010","2","9","18","0","2010-02-09 18:00:00","U","MERRA2.2010040.180.resampled.U.tif"
"4","2010","2","9","18","0","2010-02-09 18:00:00","V","MERRA2.2010040.180.resampled.V.tif"
"4","2010","2","10","15","0","2010-02-10 15:00:00","PS","MERRA2.2010041.150.resampled.PS.tif"
"4","2010","2","10","15","0","2010-02-10 15:00:00","RH","MERRA2.2010041.150.resampled.RH.tif"
"4","2010","2","10","15","0","2010-02-10 15:00:00","T","MERRA2.2010041.150.resampled.T.tif"
"4","2010","2","10","15","0","2010-02-10 15:00:00","U","MERRA2.2010041.150.resampled.U.tif"
"4","2010","2","10","15","0","2010-02-10 15:00:00","V","MERRA2.2010041.150.resampled.V.tif"
"4","2010","2","10","18","0","2010-02-10 18:00:00","PS","MERRA2.2010041.180.resampled.PS.tif"
"4","2010","2","10","18","0","2010-02-10 18:00:00","RH","MERRA2.2010041.180.resampled.RH.tif"
