Fecha_Hora (yyyy-mm-dd hh:mm:ss);Satelite;AODnm;valor_AOD;estacion_pm
19/04/2010 17:35;A;470;0.30967477;LBO
19/04/2010 17:35;A;470;0.297859162;CEN
19/04/2010 17:35;A;470;0.308614135;COR
19/04/2010 17:35;A;470;0.299777836;PAL
19/04/2010 17:35;A;470;0.175291464;LMA
19/04/2010 17:35;A;470;0.165946141;DKS
19/04/2010 17:35;A;470;NA;BB1
19/04/2010 17:35;A;470;NA;BB2
20/04/2010 18:20;A;470;0.048371792;LBO
20/04/2010 18:20;A;470;0.058007348;CEN
20/04/2010 18:20;A;470;0.039000001;COR
20/04/2010 18:20;A;470;0.061381977;PAL
20/04/2010 18:20;A;470;0.051954072;LMA
20/04/2010 18:20;A;470;0.038548678;DKS
20/04/2010 18:20;A;470;NA;BB1
20/04/2010 18:20;A;470;NA;BB2
21/04/2010 17:25;A;470;0.150388017;LBO
21/04/2010 17:25;A;470;0.166263103;CEN
21/04/2010 17:25;A;470;0.158999994;COR
21/04/2010 17:25;A;470;0.16273205;PAL
21/04/2010 17:25;A;470;0.028999999;LMA
21/04/2010 17:25;A;470;0.025727971;DKS
21/04/2010 17:25;A;470;NA;BB1
21/04/2010 17:25;A;470;NA;BB2
22/04/2010 18:05;A;470;0.099967055;LBO
22/04/2010 18:05;A;470;0.092420965;CEN
22/04/2010 18:05;A;470;0.112000003;COR
22/04/2010 18:05;A;470;0.122798473;PAL
22/04/2010 18:05;A;470;0.045802478;LMA
22/04/2010 18:05;A;470;0.045323253;DKS
22/04/2010 18:05;A;470;NA;BB1
22/04/2010 18:05;A;470;NA;BB2
23/04/2010 17:10;A;470;0.092861526;LBO
23/04/2010 17:10;A;470;0.073613815;CEN
23/04/2010 17:10;A;470;0.082308613;COR
23/04/2010 17:10;A;470;0.099690057;PAL
23/04/2010 17:10;A;470;0.026714548;LMA
23/04/2010 17:10;A;470;0.030316304;DKS
23/04/2010 17:10;A;470;NA;BB1
23/04/2010 17:10;A;470;NA;BB2
26/04/2010 17:40;A;470;0.144516051;LBO
26/04/2010 17:40;A;470;0.136641532;CEN
26/04/2010 17:40;A;470;0.13372542;COR
26/04/2010 17:40;A;470;0.129682407;PAL
26/04/2010 17:40;A;470;0.037678499;LMA
26/04/2010 17:40;A;470;0.039208818;DKS
26/04/2010 17:40;A;470;NA;BB1
26/04/2010 17:40;A;470;NA;BB2
27/04/2010 18:25;A;470;0.099908844;LBO
27/04/2010 18:25;A;470;0.118899524;CEN
27/04/2010 18:25;A;470;0.106193818;COR
27/04/2010 18:25;A;470;0.108981103;PAL
27/04/2010 18:25;A;470;0.071501739;LMA
27/04/2010 18:25;A;470;0.062326603;DKS
27/04/2010 18:25;A;470;NA;BB1
27/04/2010 18:25;A;470;NA;BB2
28/04/2010 17:30;A;470;0.137342453;LBO
28/04/2010 17:30;A;470;0.14908345;CEN
28/04/2010 17:30;A;470;0.155439198;COR
28/04/2010 17:30;A;470;0.155905902;PAL
28/04/2010 17:30;A;470;0.068625458;LMA
28/04/2010 17:30;A;470;0.046086952;DKS
28/04/2010 17:30;A;470;NA;BB1
28/04/2010 17:30;A;470;NA;BB2
29/04/2010 18:10;A;470;0.04110311;LBO
29/04/2010 18:10;A;470;0.037452392;CEN
29/04/2010 18:10;A;470;0.028000001;COR
29/04/2010 18:10;A;470;0.044545084;PAL
29/04/2010 18:10;A;470;0.054017335;LMA
29/04/2010 18:10;A;470;0.028348308;DKS
29/04/2010 18:10;A;470;NA;BB1
29/04/2010 18:10;A;470;NA;BB2
30/04/2010 17:15;A;470;0.11732766;LBO
30/04/2010 17:15;A;470;0.121014006;CEN
30/04/2010 17:15;A;470;0.119999997;COR
30/04/2010 17:15;A;470;0.120736457;PAL
30/04/2010 17:15;A;470;0.075714551;LMA
30/04/2010 17:15;A;470;0.076006845;DKS
30/04/2010 17:15;A;470;NA;BB1
30/04/2010 17:15;A;470;NA;BB2
01/05/2010 18:00;A;470;0.168119535;LBO
